date,open,high,low,close,adj Close,volume
04/04/2014,17,17,16.42,18,18,127870
07/04/2014,18,18,18,18,18,0
08/04/2014,17.5,17.5,17.5,17.5,17.5,0
09/04/2014,17,17,17,16.5,16.5,3704
10/04/2014,16.75,16.75,16.75,16,16,3558
11/04/2014,16,15.25,15.25,16,16,30000
14/04/2014,16,16,16,16,16,0
15/04/2014,16,16,16,16,16,0
16/04/2014,17,17.25,16.75,16,16,110838
17/04/2014,16,16,16,16,16,0
22/04/2014,16.579,16.75,15.6,16,16,86186
23/04/2014,16,16,16,16,16,0
24/04/2014,16,16,16,16,16,0
25/04/2014,16,16,16,16,16,0
28/04/2014,16.579,16.579,16.579,16,16,1507
29/04/2014,16,16,16,16,16,0
30/04/2014,16.75,16.75,16.75,16,16,597
01/05/2014,16,16,16,16,16,0
02/05/2014,15,16.629999,15,15.5,15.5,10100
06/05/2014,15.25,15.25,15.25,15.25,15.25,0
07/05/2014,15.25,15.25,15.25,15.25,15.25,0
08/05/2014,16.190001,16.190001,15,15.25,15.25,11500
09/05/2014,15.25,15.25,15.25,15.25,15.25,0
12/05/2014,14.75,15,14.75,13.5,13.5,25040
13/05/2014,13,13,13,13,13,3558
14/05/2014,14,14,14,13.5,13.5,10000
15/05/2014,14.9,16.530001,14.72,13.75,13.75,525795
16/05/2014,14.92,15.42,14.9,15.25,15.25,38378
19/05/2014,15.25,15.25,15.25,15.25,15.25,0
20/05/2014,15.25,15.25,15.25,15.25,15.25,0
21/05/2014,14.1,14.1,14.1,13.75,13.75,25000
22/05/2014,13.899,13.899,13.1,13.25,13.25,20058
23/05/2014,13.505,14.82,13.505,13.82,13.82,154232
27/05/2014,15.8,15.8,14.1,14,14,41895
28/05/2014,13.1,13.8,13.1,14,14,40053
29/05/2014,14,14,14,14,14,0
30/05/2014,13.1,13.1,13.1,14,14,20000
02/06/2014,14,14,14,14,14,0
03/06/2014,13.22,13.8,13.22,13.5,13.5,127573
04/06/2014,13.8,14.5,12.65,12.75,12.75,100534
05/06/2014,12.75,12.75,12.75,12.75,12.75,0
06/06/2014,12.65,13.4,11.6,13.25,13.25,164539
09/06/2014,12.6,12.6,12.5,11.75,11.75,91375
10/06/2014,11.5,11.5,11.5,11.5,11.5,0
11/06/2014,11.5,11.5,11.5,11.5,11.5,0
12/06/2014,12,12,12,11.5,11.5,4062
13/06/2014,12,12,12,12,12,10000
16/06/2014,12.78,12.78,12.78,12,12,782
17/06/2014,12,12,12,12,12,0
18/06/2014,11.25,11.25,11.25,12,12,3789
19/06/2014,12,12,12,12,12,0
20/06/2014,12.75,12.75,12.25,12,12,89650
23/06/2014,12,12,12,12,12,0
24/06/2014,12,12,12,12,12,0
25/06/2014,12.75,12.75,12.75,12.75,12.75,50000
26/06/2014,12.75,12.75,12.75,12.75,12.75,0
27/06/2014,12.75,12.75,12.75,12.75,12.75,0
30/06/2014,12.75,12.75,12.75,12.75,12.75,0
01/07/2014,13,13,13,13,13,0
02/07/2014,13,13,13,13,13,0
03/07/2014,13.75,14.53,13.75,14.25,14.25,256633
04/07/2014,13.75,13.75,13.55,14.25,14.25,70000
07/07/2014,14.9,15,14.1,14.5,14.5,79000
08/07/2014,14.5,14.5,14.5,14.5,14.5,0
09/07/2014,14.1,14.1,14.1,14,14,50000
10/07/2014,13.5,13.9,13.5,14,14,162463
11/07/2014,14,14,14,14,14,0
14/07/2014,14,14,14,14,14,0
15/07/2014,13.88,13.88,13.75,14,14,200000
16/07/2014,14,14,14,14,14,0
17/07/2014,13.51,13.51,13.51,13.5,13.5,25000
18/07/2014,13.5,13.5,13.5,13.5,13.5,0
21/07/2014,13.5,13.5,13.5,13.5,13.5,25000
22/07/2014,13.5,13.5,13.5,13.5,13.5,0
23/07/2014,13.25,13.25,13.25,13.25,13.25,0
24/07/2014,13.25,13.25,13.25,13.25,13.25,0
25/07/2014,13,12.5,11.5,11.5,11.5,36130
28/07/2014,11.5,11.5,11.5,11.5,11.5,0
29/07/2014,11.38,11.38,11,10.625,10.625,19558
30/07/2014,10.75,10.75,10.75,10.75,10.75,12907
31/07/2014,10.5,10.5,10.5,10.25,10.25,32907
01/08/2014,10.5,10.5,10.5,10.25,10.25,71
04/08/2014,10.4,10.4,10.4,10.5,10.5,29211
05/08/2014,10.5,10.5,10.5,10.5,10.5,0
06/08/2014,10.5,10.5,10.5,10.5,10.5,0
07/08/2014,10.9,10.9,10.9,10.5,10.5,74
08/08/2014,10.5,10.5,10.5,10.5,10.5,0
11/08/2014,10,10,10,9.75,9.75,7500
12/08/2014,9.5,9.5,9.5,9,9,9378
13/08/2014,9,9,9,8.75,8.75,6666
14/08/2014,9,9,9,9,9,0
15/08/2014,9,9,9,9,9,0
18/08/2014,9.5,9.5,9.5,9.5,9.5,5032
19/08/2014,9.5,9.5,9.5,9.5,9.5,0
20/08/2014,9.48,9.48,9.48,9.5,9.5,575014
21/08/2014,7.5,10,7.5,10,10,193054
22/08/2014,10.5,10.5,9.5,10,10,31826
26/08/2014,10,10,10,10,10,0
27/08/2014,10,10,10,10,10,0
28/08/2014,10,10,10,10,10,0
29/08/2014,10.5,10.5,10.5,10,10,75962
01/09/2014,10.5,10.5,10.5,10.5,10.5,0
02/09/2014,10.5,10.5,10.5,10.5,10.5,0
03/09/2014,10.5,10.5,10.5,10.5,10.5,0
04/09/2014,9.8,9.8,9.5,9.625,9.625,20000
05/09/2014,9.25,9.25,9.25,8.5,8.5,30532
08/09/2014,8.26,8.26,8.26,8.5,8.5,10000
09/09/2014,8.25,8.25,8.25,8.25,8.25,0
10/09/2014,8,8,7.5,7.625,7.625,12514
11/09/2014,7.625,7.625,7.625,7.625,7.625,0
12/09/2014,8.5,8.5,8.5,8.5,8.5,0
15/09/2014,8.5,8.875,8.076,9,9,207946
16/09/2014,8.25,8.7,8.25,9,9,37715
17/09/2014,7.839,7.839,7.839,9,9,20000
18/09/2014,8.5,8.5,8.5,8.5,8.5,0
19/09/2014,8.9,8.9,8.9,9,9,44943
22/09/2014,9,9,9,9,9,0
23/09/2014,9,9,9,9,9,0
24/09/2014,9,9,9,9,9,0
25/09/2014,9,9,9,9,9,0
26/09/2014,9,9,9,9,9,0
29/09/2014,9,9,9,9,9,0
30/09/2014,9,9,9,9,9,0
01/10/2014,9,9,9,9,9,0
02/10/2014,8.5,8.5,8.5,8.5,8.5,0
03/10/2014,7.375,8,7.4,7.25,7.25,41044
06/10/2014,7.25,7.25,7.25,7.25,7.25,0
07/10/2014,7.5,7.5,7.5,7.5,7.5,0
08/10/2014,7.5,7.5,7.5,7.5,7.5,0
09/10/2014,7.5,7.5,7.5,7.5,7.5,0
10/10/2014,6.47,6.47,6.47,6.75,6.75,46000
13/10/2014,6.75,6.75,6.75,6.75,6.75,0
14/10/2014,6,6,6,6.375,6.375,10000
15/10/2014,6.25,6.25,6,5.75,5.75,102423
16/10/2014,5.95,5.95,5.95,5.75,5.75,5143
17/10/2014,5.75,5.75,5.75,5.75,5.75,0
20/10/2014,5.875,5.875,5.875,5.875,5.875,0
21/10/2014,5.875,5.875,5.875,5.875,5.875,0
22/10/2014,6.375,6.375,6.375,6.375,6.375,0
23/10/2014,6.684,6.684,6.65,6.625,6.625,78103
24/10/2014,6.625,6.625,6.625,6.625,6.625,0
27/10/2014,6,6.5,6.5,6.25,6.25,10000
28/10/2014,6.25,6.25,6.25,6.25,6.25,0
29/10/2014,6,6,6,6.25,6.25,3000
30/10/2014,6.25,6.25,6.25,6.25,6.25,0
31/10/2014,6.25,6.25,6.25,6.25,6.25,0
03/11/2014,6.088,6.088,6.088,6.25,6.25,14788
04/11/2014,6.125,6.125,6.125,6.125,6.125,0
05/11/2014,6,6,6,5.75,5.75,7500
06/11/2014,5.6,5.6,5.6,5.75,5.75,4500
07/11/2014,5.75,5.75,5.75,5.75,5.75,0
10/11/2014,5.75,5.75,5.75,5.75,5.75,0
11/11/2014,5.75,5.75,5.75,5.75,5.75,0
12/11/2014,5.75,5.75,5.75,5.75,5.75,0
13/11/2014,5.75,5.75,5.75,5.75,5.75,0
14/11/2014,5.75,5.75,5.75,5.75,5.75,0
17/11/2014,5.75,5.75,5.75,5.75,5.75,0
18/11/2014,5.75,5.75,5.75,5.75,5.75,0
19/11/2014,5.75,5.75,5.75,5.75,5.75,0
20/11/2014,6,5.5,5.5,5.5,5.5,20000
21/11/2014,5.5,5.5,5.5,5.5,5.5,0
24/11/2014,5.5,5.5,5.5,5.5,5.5,0
25/11/2014,5.5,5.5,5.5,5.5,5.5,0
26/11/2014,5.5,5.5,5.5,5.5,5.5,0
27/11/2014,5.5,5.5,5.5,5.5,5.5,0
28/11/2014,5.5,5.5,5.5,5.5,5.5,0
01/12/2014,5.5,5.5,5.5,5.5,5.5,0
02/12/2014,5.5,5.5,5.5,5.5,5.5,0
03/12/2014,5.5,5.5,5.5,5.5,5.5,0
04/12/2014,5.5,5.5,5.5,5.5,5.5,0
05/12/2014,5.5,5.5,5.5,5.5,5.5,0
08/12/2014,5.5,5.5,5.5,5.5,5.5,0
09/12/2014,5.05,5.05,4.75,4.625,4.625,52500
10/12/2014,4.75,4.75,4.75,4.625,4.625,15
11/12/2014,4.625,4.625,4.625,4.625,4.625,0
12/12/2014,4.625,4.625,4.625,4.625,4.625,0
15/12/2014,4.5,4.5,4,3.75,3.75,30000
16/12/2014,3.5,3.5,3.5,3.375,3.375,7500
17/12/2014,3.375,3.375,3.375,3.375,3.375,0
18/12/2014,3.5,3.5,3.5,3.5,3.5,0
19/12/2014,3.5,3.5,3.5,3.5,3.5,0
22/12/2014,3.75,3.75,3.75,3.75,3.75,0
23/12/2014,4,5.2,4,4.375,4.375,294831
24/12/2014,4.125,4.4,4.125,4.5,4.5,85073
29/12/2014,4.5,4.5,4.5,4.5,4.5,0
30/12/2014,4.6,5.48,4.6,5.125,5.125,142500
31/12/2014,5.125,5.125,5.125,5.125,5.125,0
02/01/2015,5.25,5.25,5.25,5.25,5.25,0
05/01/2015,5.25,5.25,5.25,5.25,5.25,0
06/01/2015,5.5,5.5,5.5,5.625,5.625,50000
07/01/2015,5.625,5.625,5.625,5.625,5.625,0
08/01/2015,5.875,5.875,5.875,5.875,5.875,0
09/01/2015,5.875,5.875,5.875,5.875,5.875,0
12/01/2015,5.625,5.625,5.625,5.625,5.625,0
13/01/2015,5.625,5.625,5.625,5.625,5.625,10003
14/01/2015,5.625,5.625,5.625,5.625,5.625,0
15/01/2015,5.463,5.463,4.8,4.875,4.875,51010
16/01/2015,4.5,4.5,4,3.625,3.625,64093
19/01/2015,4,4.25,4,4,4,120956
20/01/2015,3.75,3.9,3.75,3.625,3.625,17750
21/01/2015,3.75,4,3.75,3.75,3.75,50000
22/01/2015,3.75,3.75,3.75,3.75,3.75,0
23/01/2015,4.01,4.01,4,4.125,4.125,65000
26/01/2015,4.125,4.125,4.125,4.125,4.125,0
27/01/2015,4.125,4.125,4.125,4.125,4.125,0
28/01/2015,4.125,4.125,4.125,4.125,4.125,0
29/01/2015,3.875,3.875,3.875,3.875,3.875,0
30/01/2015,3.875,3.875,3.875,3.875,3.875,0
02/02/2015,3.75,3.75,3.75,3.75,3.75,0
03/02/2015,3.75,3.75,3.75,3.75,3.75,0
04/02/2015,3.625,3.625,3.625,3.625,3.625,0
05/02/2015,3.625,3.625,3.625,3.625,3.625,0
06/02/2015,3.625,3.625,3.625,3.625,3.625,0
09/02/2015,3.625,3.625,3.625,3.625,3.625,0
10/02/2015,3.79,3.79,3.79,3.75,3.75,45000
11/02/2015,3.75,3.75,3.75,3.75,3.75,0
12/02/2015,3.75,3.75,3.75,3.75,3.75,0
13/02/2015,4,4,4,4.125,4.125,50000
16/02/2015,4.129,4.5,4.129,4.25,4.25,25800
17/02/2015,4.499,4.499,4.499,4.375,4.375,10946
18/02/2015,4.375,4.375,4.375,4.375,4.375,0
19/02/2015,4.375,4.375,4.375,4.375,4.375,0
20/02/2015,4.5,4.5,4.5,4.375,4.375,388
23/02/2015,4.375,4.375,4.375,4.375,4.375,0
24/02/2015,4.375,4.375,4.375,4.375,4.375,0
25/02/2015,4.375,4.375,4.375,4.375,4.375,0
26/02/2015,4.5,4.656,4.5,4.625,4.625,53000
27/02/2015,4.749,4.749,4.5,4.375,4.375,45368
02/03/2015,4.375,4.375,4.375,4.375,4.375,0
03/03/2015,4.375,4.375,4.375,4.375,4.375,0
04/03/2015,4.316,4.316,4.316,4.375,4.375,152
05/03/2015,4.375,4.375,4.375,4.375,4.375,0
06/03/2015,4.375,4.375,4.375,4.375,4.375,0
09/03/2015,4.375,4.375,4.375,4.375,4.375,0
10/03/2015,4.5,4.5,4.5,4.5,4.5,10000
11/03/2015,4.5,4.5,4.5,4.5,4.5,0
12/03/2015,4.7,4.7,4.7,4.5,4.5,21010
13/03/2015,4.5,4.5,4.5,4.5,4.5,0
16/03/2015,4.5,4.5,4.5,4.5,4.5,0
17/03/2015,4.5,4.5,4.5,4.5,4.5,0
18/03/2015,4.5,4.5,4.5,4.5,4.5,0
19/03/2015,4.5,4.5,4.5,4.5,4.5,0
20/03/2015,4.5,4.5,4.5,4.5,4.5,0
23/03/2015,4.5,4.5,4.5,4.5,4.5,0
24/03/2015,4.5,4.5,4.5,4.5,4.5,0
25/03/2015,4.5,4.5,4.5,4.5,4.5,0
26/03/2015,4.5,4.5,4.5,4.5,4.5,0
27/03/2015,4.25,4.25,4.25,4.125,4.125,7500
30/03/2015,4.125,4.125,4.125,4.125,4.125,0
31/03/2015,4.125,4.125,4.125,4.125,4.125,0
01/04/2015,4.125,4.125,4.125,4.125,4.125,0
02/04/2015,4.125,4.125,4.125,4.125,4.125,0
07/04/2015,4.2,4.4,4.2,4.25,4.25,22550
08/04/2015,4.372,4.372,4.372,4.25,4.25,4000
09/04/2015,4.37,4.38,4.37,4.5,4.5,65000
10/04/2015,4.5,4.5,4.5,4.5,4.5,0
13/04/2015,4.5,4.5,4.5,4.5,4.5,0
14/04/2015,4.5,4.5,4.5,4.5,4.5,0
15/04/2015,4.5,4.5,4.5,4.5,4.5,0
16/04/2015,4.5,4.5,4.5,4.5,4.5,0
17/04/2015,4.5,4.5,4.5,4.5,4.5,0
20/04/2015,4.35,4.35,4.35,4.5,4.5,4050
21/04/2015,4.5,4.5,4.5,4.5,4.5,0
22/04/2015,4.5,4.5,4.5,4.5,4.5,0
23/04/2015,4.5,4.5,4.5,4.5,4.5,0
24/04/2015,4.5,4.5,4.5,4.5,4.5,0
27/04/2015,4.354,4.354,4.354,4.5,4.5,10003
28/04/2015,4.5,4.5,4.5,4.5,4.5,0
29/04/2015,4.603,4.603,4.603,4.75,4.75,25000
30/04/2015,4.75,4.75,4.75,4.75,4.75,0
01/05/2015,4.75,4.75,4.75,4.75,4.75,0
05/05/2015,4.75,4.75,4.75,4.75,4.75,0
06/05/2015,4.75,4.75,4.75,4.75,4.75,0
07/05/2015,4.75,4.75,4.75,4.75,4.75,0
08/05/2015,4.75,4.75,4.75,4.75,4.75,0
11/05/2015,4.8,5.98,4.8,5.875,5.875,284759
12/05/2015,6.05,6.1,5.25,5.75,5.75,223649
13/05/2015,5.5,5.5,5,5.25,5.25,180000
14/05/2015,5.35,5.35,5.35,5.25,5.25,271
15/05/2015,5.35,5.35,5.03,5.25,5.25,76724
18/05/2015,5.322,5.322,5.322,5.25,5.25,1174
19/05/2015,4.77,4.77,4.77,4.875,4.875,38945
20/05/2015,4.875,4.875,4.875,4.875,4.875,0
21/05/2015,5,5,5,5,5,0
22/05/2015,5,5,5,5,5,0
26/05/2015,5,5,5,5,5,0
27/05/2015,5,5,5,5,5,0
28/05/2015,5,5,5,5,5,0
29/05/2015,5,5,5,5,5,0
01/06/2015,4.75,4.75,4.75,4.625,4.625,7500
02/06/2015,4.625,4.625,4.625,4.625,4.625,0
03/06/2015,4.625,4.625,4.625,4.625,4.625,0
04/06/2015,5,5,4.984,4.875,4.875,98005
05/06/2015,4.984,4.984,4.984,4.875,4.875,422
08/06/2015,4.875,4.875,4.875,4.875,4.875,0
09/06/2015,4.875,4.875,4.875,4.875,4.875,0
10/06/2015,4.65,4.65,4.65,4.625,4.625,422
11/06/2015,4.625,4.625,4.625,4.625,4.625,0
12/06/2015,4.625,4.625,4.625,4.625,4.625,0
15/06/2015,4.4,4.4,4.4,4.375,4.375,15000
16/06/2015,4.375,4.375,4.375,4.375,4.375,0
17/06/2015,4.375,4.375,4.375,4.375,4.375,0
18/06/2015,4.25,4.25,4.25,4.25,4.25,0
19/06/2015,4.25,4.25,4.25,4.25,4.25,0
22/06/2015,4.25,4.25,4.25,4.25,4.25,0
23/06/2015,4.15,4.15,4.15,4.125,4.125,50000
24/06/2015,4.125,4.125,4.125,4.125,4.125,0
25/06/2015,4.125,4.125,4.125,4.125,4.125,0
26/06/2015,4.125,4.125,4.125,4.125,4.125,0
29/06/2015,3.45,3.45,3.45,3.5,3.5,48000
30/06/2015,3.5,3.5,3.5,3.5,3.5,0
01/07/2015,3.375,3.375,3.375,3.375,3.375,0
02/07/2015,3.375,3.375,3.375,3.375,3.375,0
03/07/2015,3.25,3.25,3.25,3.25,3.25,0
06/07/2015,3.25,3.25,3.25,3.25,3.25,0
07/07/2015,3.25,3.25,3.25,3.25,3.25,0
08/07/2015,3.25,3.25,3.25,3.25,3.25,0
09/07/2015,3.25,3.25,3.25,3.25,3.25,0
10/07/2015,3.25,3.25,3.25,3.25,3.25,0
13/07/2015,3.25,3.25,3.25,3.25,3.25,0
14/07/2015,3.25,3.25,3.25,3.25,3.25,0
15/07/2015,3.25,3.25,3.25,3.25,3.25,0
16/07/2015,3.25,3.25,3.25,3.25,3.25,0
17/07/2015,3.25,3.25,3.25,3.25,3.25,0
20/07/2015,3.25,3.25,3.25,3.25,3.25,0
21/07/2015,3.25,3.25,3.25,3.25,3.25,0
22/07/2015,3.25,3.25,3.25,3.25,3.25,0
23/07/2015,3.25,3.25,3.25,3.25,3.25,0
24/07/2015,3.25,3.25,3.25,3.25,3.25,0
27/07/2015,3.25,3.25,3.25,3.25,3.25,0
28/07/2015,3.25,3.25,3.25,3.25,3.25,0
29/07/2015,3.25,3.25,3.25,3.25,3.25,0
30/07/2015,3.25,3.25,3.25,3.25,3.25,0
31/07/2015,3.25,3.25,3.25,3.25,3.25,0
03/08/2015,3.25,3.25,3.25,3.25,3.25,0
04/08/2015,3.25,3.25,3.25,3.25,3.25,0
05/08/2015,3.25,3.25,3.25,3.25,3.25,0
06/08/2015,3.25,3.25,3.25,3.25,3.25,0
07/08/2015,3.25,3.25,3.25,3.25,3.25,0
10/08/2015,3.25,3.25,3.25,3.25,3.25,0
11/08/2015,3.25,3.25,3.25,3.25,3.25,0
12/08/2015,3.25,3.25,3.25,3.25,3.25,0
13/08/2015,3.25,3.25,3.25,3.25,3.25,0
14/08/2015,3.25,3.25,3.25,3.25,3.25,0
17/08/2015,3.5,3.5,3.5,3.25,3.25,2500
18/08/2015,3.25,3.25,3.25,3.25,3.25,0
19/08/2015,3.25,3.25,3.25,3.25,3.25,0
20/08/2015,3.25,3.25,3.25,3.25,3.25,0
21/08/2015,3.25,3.25,3.25,3.25,3.25,0
24/08/2015,3.125,3.125,3.125,3.125,3.125,0
25/08/2015,3.125,3.125,3.125,3.125,3.125,0
26/08/2015,3.125,3.125,3.125,3.125,3.125,0
27/08/2015,3,3,3,2.875,2.875,10020
28/08/2015,2.875,2.875,2.875,2.875,2.875,0
01/09/2015,2.875,2.875,2.875,2.875,2.875,0
02/09/2015,2.875,2.875,2.875,2.875,2.875,0
03/09/2015,3.2,3.2,3.2,2.875,2.875,4359
04/09/2015,2.875,2.875,2.875,2.875,2.875,0
07/09/2015,2.875,2.875,2.875,2.875,2.875,0
08/09/2015,2.875,2.875,2.875,2.875,2.875,0
09/09/2015,2.875,2.875,2.875,2.875,2.875,0
10/09/2015,2.875,2.875,2.875,2.875,2.875,0
11/09/2015,2.875,2.875,2.875,2.875,2.875,0
14/09/2015,2.875,2.875,2.875,2.875,2.875,0
15/09/2015,2.875,2.875,2.875,2.875,2.875,0
16/09/2015,2.875,2.875,2.875,2.875,2.875,0
17/09/2015,2.65,2.65,2.65,2.75,2.75,50000
18/09/2015,2.75,2.75,2.75,2.75,2.75,0
21/09/2015,2.65,2.65,2.65,2.625,2.625,18299
22/09/2015,2.625,2.625,2.625,2.625,2.625,0
23/09/2015,3,3.65,3,3.125,3.125,924472
24/09/2015,3,3,2.95,2.75,2.75,12500
25/09/2015,3,3,3,2.75,2.75,200000
28/09/2015,2.75,2.75,2.75,2.75,2.75,0
29/09/2015,2.5,2.5,2.44,2.125,2.125,19500
30/09/2015,2.125,2.125,2.125,2.125,2.125,0
01/10/2015,2.25,2.25,2.25,2.25,2.25,0
02/10/2015,2.01,2.01,2.01,2.25,2.25,15
05/10/2015,2.25,2.25,2.25,2.25,2.25,0
06/10/2015,2.25,2.25,2.25,2.25,2.25,0
07/10/2015,2.45,3,2.45,2.75,2.75,262000
08/10/2015,2.75,2.75,2.75,2.75,2.75,0
09/10/2015,3,3.1,3,3.125,3.125,19500
12/10/2015,3.25,3.4,3.25,3.25,3.25,19973
